"","FlightDate","Airline","Origin","Dest","Cancelled","Diverted","CRSDepTime","DepTime","DepDelayMinutes","DepDelay","ArrTime","ArrDelayMinutes","AirTime","CRSElapsedTime","ActualElapsedTime","Distance","Year","Quarter","Month","DayofMonth","DayOfWeek","Marketing_Airline_Network","Operated_or_Branded_Code_Share_Partners","DOT_ID_Marketing_Airline","IATA_Code_Marketing_Airline","Flight_Number_Marketing_Airline","Operating_Airline","DOT_ID_Operating_Airline","IATA_Code_Operating_Airline","Tail_Number","Flight_Number_Operating_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","DestCityName","DestState","DestStateFips","DestStateName","DestWac","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrDelay","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","DistanceGroup","DivAirportLandings","__index_level_0__"
"19",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","DEN","SHV",FALSE,FALSE,1731,1800,29,29,2141,45,119,145,161,792,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4268,"C5",20445,"C5","N21144",4268,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,14814,1481402,30476,"Shreveport, LA","LA",22,"Louisiana",72,1,1,"1700-1759",19,1819,2118,23,2056,45,1,3,"2000-2059",4,0,18
"20",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAH","MOB",FALSE,FALSE,1940,1954,14,14,2105,0,54,86,71,427,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4267,"C5",20445,"C5","N14173",4267,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,13422,1342202,30562,"Mobile, AL","AL",1,"Alabama",51,0,0,"1900-1959",14,2008,2102,3,2106,-1,0,-1,"2100-2159",2,0,19
"21",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAH","MFE",FALSE,FALSE,1810,1810,0,0,1930,0,56,82,80,316,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4266,"C5",20445,"C5","N11150",4266,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,13256,1325602,33256,"Mission/McAllen/Edinburg, TX","TX",48,"Texas",74,0,0,"1800-1859",20,1830,1926,4,1932,-2,0,-1,"1900-1959",2,0,20
"22",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","DEN","DRO",FALSE,FALSE,940,955,15,15,1107,12,43,75,72,251,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4265,"C5",20445,"C5","N17146",4265,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,11413,1141307,30285,"Durango, CO","CO",8,"Colorado",82,1,1,"0900-0959",22,1017,1100,7,1055,12,0,0,"1000-1059",2,0,21
"23",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","DEN","DIK",FALSE,FALSE,2028,2027,0,-1,2210,5,78,97,103,488,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4263,"C5",20445,"C5","N14158",4263,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,11315,1131502,31315,"Dickinson, ND","ND",38,"North Dakota",66,0,-1,"2000-2059",18,2045,2203,7,2205,5,0,0,"2200-2259",2,0,22
"24",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAH","HRL",FALSE,FALSE,1830,1829,0,-1,1940,0,51,76,71,295,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4261,"C5",20445,"C5","N12163",4261,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,12206,1220605,32206,"Harlingen/San Benito, TX","TX",48,"Texas",74,0,-1,"1800-1859",17,1846,1937,3,1946,-6,0,-1,"1900-1959",2,0,23
"25",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAH","BTR",FALSE,FALSE,1222,1219,0,-3,1320,0,40,69,61,253,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4260,"C5",20445,"C5","N11176",4260,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,10781,1078105,30781,"Baton Rouge, LA","LA",22,"Louisiana",72,0,-1,"1200-1259",17,1236,1316,4,1331,-11,0,-1,"1300-1359",2,0,24
"26",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAD","HSV",FALSE,FALSE,855,854,0,-1,1015,15,93,125,141,596,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4259,"C5",20445,"C5","N12167",4259,12264,1226402,30852,"Washington, DC","VA",51,"Virginia",38,12217,1221702,30255,"Huntsville, AL","AL",1,"Alabama",51,0,-1,"0800-0859",38,932,1005,10,1000,15,1,1,"1000-1059",3,0,25
"27",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAH","ICT",FALSE,FALSE,2025,2021,0,-4,2211,0,82,109,110,542,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4256,"C5",20445,"C5","N12201",4256,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,12278,1227805,30928,"Wichita, KS","KS",20,"Kansas",62,0,-1,"2000-2059",21,2042,2204,7,2214,-3,0,-1,"2200-2259",3,0,26
"28",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","ECP","IAH",FALSE,FALSE,1232,1220,0,-12,1415,0,99,128,115,572,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4255,"C5",20445,"C5","N11192",4255,11481,1148102,31481,"Panama City, FL","FL",12,"Florida",33,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,-1,"1200-1259",11,1231,1410,5,1440,-25,0,-2,"1400-1459",3,0,27
"29",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","DEN","SGF",FALSE,FALSE,1731,1732,1,1,2024,0,81,121,112,637,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4253,"C5",20445,"C5","N16151",4253,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,14783,1478302,34783,"Springfield, MO","MO",29,"Missouri",64,0,0,"1700-1759",26,1758,2019,5,2032,-8,0,-1,"2000-2059",3,0,28
"30",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","DEN","LNK",FALSE,FALSE,1541,1606,25,25,1826,16,60,89,80,423,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4252,"C5",20445,"C5","N24103",4252,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,13029,1302902,33029,"Lincoln, NE","NE",31,"Nebraska",65,1,1,"1500-1559",16,1622,1822,4,1810,16,1,1,"1800-1859",2,0,29
"31",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAH","LFT",FALSE,FALSE,1635,1631,0,-4,1746,7,41,64,75,201,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4251,"C5",20445,"C5","N14203",4251,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,12951,1295106,32951,"Lafayette, LA","LA",22,"Louisiana",72,0,-1,"1600-1659",27,1658,1739,7,1739,7,0,0,"1700-1759",1,0,30
"32",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","AEX","IAH",FALSE,FALSE,700,655,0,-5,807,0,44,87,72,190,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4250,"C5",20445,"C5","N16183",4250,10185,1018502,30185,"Alexandria, LA","LA",22,"Louisiana",72,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,-1,"0700-0759",19,714,758,9,827,-20,0,-2,"0800-0859",1,0,31
"33",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","DEN","SGF",FALSE,FALSE,1330,1849,319,319,2141,315,83,116,112,637,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4249,"C5",20445,"C5","N17146",4249,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,14783,1478302,34783,"Springfield, MO","MO",29,"Missouri",64,1,12,"1300-1359",24,1913,2136,5,1626,315,1,12,"1600-1659",3,0,32
"34",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","DEN","LNK",FALSE,FALSE,1047,1045,0,-2,1303,0,55,91,78,423,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4248,"C5",20445,"C5","N14177",4248,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,13029,1302902,33029,"Lincoln, NE","NE",31,"Nebraska",65,0,-1,"1000-1059",15,1100,1255,8,1318,-15,0,-1,"1300-1359",2,0,33
"35",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAH","ICT",FALSE,FALSE,940,945,5,5,1130,0,81,112,105,542,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4245,"C5",20445,"C5","N24128",4245,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,12278,1227805,30928,"Wichita, KS","KS",20,"Kansas",62,0,0,"0900-0959",20,1005,1126,4,1132,-2,0,-1,"1100-1159",3,0,34
"36",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAH","CRP",FALSE,FALSE,1832,1825,0,-7,1925,0,40,66,60,201,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4244,"C5",20445,"C5","N27200",4244,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,11140,1114008,31140,"Corpus Christi, TX","TX",48,"Texas",74,0,-1,"1800-1859",15,1840,1920,5,1938,-13,0,-1,"1900-1959",1,0,35
"37",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","LFT","IAH",FALSE,FALSE,700,651,0,-9,800,0,46,80,69,201,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4243,"C5",20445,"C5","N14198",4243,12951,1295106,32951,"Lafayette, LA","LA",22,"Louisiana",72,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,-1,"0700-0759",13,704,750,10,820,-20,0,-2,"0800-0859",1,0,36
"38",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAD","ROC",FALSE,FALSE,1745,1904,79,79,2017,65,46,87,73,288,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4242,"C5",20445,"C5","N12195",4242,12264,1226402,30852,"Washington, DC","VA",51,"Virginia",38,14576,1457606,34576,"Rochester, NY","NY",36,"New York",22,1,5,"1700-1759",19,1923,2009,8,1912,65,1,4,"1900-1959",2,0,37
"39",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAH","LFT",FALSE,FALSE,2146,2137,0,-9,2225,0,34,64,48,201,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4241,"C5",20445,"C5","N11184",4241,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,12951,1295106,32951,"Lafayette, LA","LA",22,"Louisiana",72,0,-1,"2100-2159",11,2148,2222,3,2250,-25,0,-2,"2200-2259",1,0,38
"40",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","BTR","IAH",FALSE,FALSE,1645,1634,0,-11,1755,0,56,91,81,253,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4240,"C5",20445,"C5","N12201",4240,10781,1078105,30781,"Baton Rouge, LA","LA",22,"Louisiana",72,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,-1,"1600-1659",15,1649,1745,10,1816,-21,0,-2,"1800-1859",2,0,39
"41",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","ABQ","IAH",FALSE,FALSE,1215,1209,0,-6,1503,0,84,136,114,744,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4238,"C5",20445,"C5","N10156",4238,10140,1014005,30140,"Albuquerque, NM","NM",35,"New Mexico",86,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,-1,"1200-1259",20,1229,1453,10,1531,-28,0,-2,"1500-1559",3,0,40
"42",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAD","PVD",FALSE,FALSE,1717,1711,0,-6,1843,0,55,101,92,371,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4237,"C5",20445,"C5","N12172",4237,12264,1226402,30852,"Washington, DC","VA",51,"Virginia",38,14307,1430705,30721,"Providence, RI","RI",44,"Rhode Island",15,0,-1,"1700-1759",28,1739,1834,9,1858,-15,0,-1,"1800-1859",2,0,41
"43",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","DEN","GJT",FALSE,FALSE,1335,1338,3,3,1440,0,38,66,62,212,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4236,"C5",20445,"C5","N17146",4236,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,11921,1192102,31921,"Grand Junction, CO","CO",8,"Colorado",82,0,0,"1300-1359",19,1357,1435,5,1441,-1,0,-1,"1400-1459",1,0,42
"44",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","BUF","IAD",FALSE,FALSE,1935,1928,0,-7,2039,0,46,79,71,283,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4235,"C5",20445,"C5","N12135",4235,10792,1079206,30792,"Buffalo, NY","NY",36,"New York",22,12264,1226402,30852,"Washington, DC","VA",51,"Virginia",38,0,-1,"1900-1959",19,1947,2033,6,2054,-15,0,-1,"2000-2059",2,0,43
"45",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","BUF","IAD",FALSE,FALSE,1501,1454,0,-7,1602,0,58,79,68,283,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4234,"C5",20445,"C5","N12135",4234,10792,1079206,30792,"Buffalo, NY","NY",36,"New York",22,12264,1226402,30852,"Washington, DC","VA",51,"Virginia",38,0,-1,"1500-1559",6,1500,1558,4,1620,-18,0,-2,"1600-1659",2,0,44
"46",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAH","BTR",FALSE,FALSE,1634,1624,0,-10,1721,0,42,68,57,253,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4233,"C5",20445,"C5","N11191",4233,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,10781,1078105,30781,"Baton Rouge, LA","LA",22,"Louisiana",72,0,-1,"1600-1659",12,1636,1718,3,1742,-21,0,-2,"1700-1759",2,0,45
"47",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","MOB","IAH",FALSE,FALSE,1156,1148,0,-8,1331,0,82,104,103,427,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4232,"C5",20445,"C5","N21154",4232,13422,1342202,30562,"Mobile, AL","AL",1,"Alabama",51,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,-1,"1100-1159",14,1202,1324,7,1340,-9,0,-1,"1300-1359",2,0,46
"48",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","AEX","IAH",FALSE,FALSE,1559,1553,0,-6,1708,0,47,84,75,190,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4230,"C5",20445,"C5","N33182",4230,10185,1018502,30185,"Alexandria, LA","LA",22,"Louisiana",72,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,-1,"1500-1559",15,1608,1655,13,1723,-15,0,-1,"1700-1759",1,0,47
"49",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","ALB","IAD",FALSE,FALSE,602,559,0,-3,722,0,64,93,83,325,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4229,"C5",20445,"C5","N13124",4229,10257,1025702,30257,"Albany, NY","NY",36,"New York",22,12264,1226402,30852,"Washington, DC","VA",51,"Virginia",38,0,-1,"0600-0659",15,614,718,4,735,-13,0,-1,"0700-0759",2,0,48
"50",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","HSV","IAH",FALSE,FALSE,615,612,0,-3,815,0,97,134,123,595,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4228,"C5",20445,"C5","N14186",4228,12217,1221702,30255,"Huntsville, AL","AL",1,"Alabama",51,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,-1,"0600-0659",14,626,803,12,829,-14,0,-1,"0800-0859",3,0,49
"51",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","IAH","HSV",FALSE,FALSE,1020,1014,0,-6,1153,0,77,115,99,595,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4227,"C5",20445,"C5","N14180",4227,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,12217,1221702,30255,"Huntsville, AL","AL",1,"Alabama",51,0,-1,"1000-1059",17,1031,1148,5,1215,-22,0,-2,"1200-1259",3,0,50
"52",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","TUL","IAH",FALSE,FALSE,1325,1325,0,0,1506,0,78,105,101,429,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4226,"C5",20445,"C5","N11191",4226,15370,1537002,34653,"Tulsa, OK","OK",40,"Oklahoma",73,12266,1226603,31453,"Houston, TX","TX",48,"Texas",74,0,0,"1300-1359",13,1338,1456,10,1510,-4,0,-1,"1500-1559",2,0,51
"53",2022-04-04,"Commutair Aka Champlain Enterprises, Inc.","CPR","DEN",FALSE,FALSE,1738,1735,0,-3,1848,0,39,77,73,230,2022,2,4,4,1,"UA","UA_CODESHARE",19977,"UA",4225,"C5",20445,"C5","N14177",4225,11122,1112205,31122,"Casper, WY","WY",56,"Wyoming",88,11292,1129202,30325,"Denver, CO","CO",8,"Colorado",82,0,-1,"1700-1759",17,1752,1831,17,1855,-7,0,-1,"1800-1859",1,0,52
